Sample;Sand;Silt;Clay;pH (H2O);pH (KCl);pH (pH CaCl2);OM (g.kg-1);SOC (g.kg-1);P (mg dm3);K (mmolc/dm3);Ca (mmolc/dm3);Mg (mmolc/dm3);Al (mmolc/dm3);H (mmolc/dm3);H+Al (mmolc/dm3);SB (mmolc/dm3);CEC (mmolc/dm3);V%;Classe V%;m%;s (mg dm3);Na (mg dm3);B (mg dm3);Fe (mg dm3);Cu (mg dm3);Zn (mg dm3);Mn (mg/dm3);Mg;Al;Si;P;S;Cl;k;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Sb;W;Hg;Pb;Bi;Th;U
28_185;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.87;3.086;0.1671;0.0219;0.0467;0;0;3.291;0.0798;0;0.1316;22.34;0;0;0.0119;0.0107;0;0;0;0.005;0.0021;0.0556;0.0104;0;0;0;0;0;0;0;0.002;0;0;0;54.48
28_186;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.89;17.08;0.0205;0;0;0;0;0.6496;0;0.0119;0.0111;5.0524;0;0.0034;0.0031;0.0017;0.0007;0;0.0022;0.0009;0.001;0.0271;0.0022;0;0;0;0;0;0;0;0.0009;0;0;0;62.27
28_187;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.41;5.25;0.1922;0;0;0;0;2.4918;0.0577;0;0.0767;16.16;0;0;0.0066;0.0073;0;0;0;0.0026;0.0013;0.0613;0.0089;0;0;0.0054;0;0;0;0;0.0018;0;0;0;58.96
28_188;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.29;19.93;0.0621;0;0;0;0;1.0683;0;0;0.0446;2.9317;0;0;0.0036;0.0018;0;0;0.0003;0.0028;0.0012;0.0345;0.0013;0;0;0;0;0;0;0;0;0;0;0;68.01
28_189;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.87;8.05;0.1509;0.0213;0;0;0;2.2137;0.0698;0;0.1649;14.79;0;0;0.0347;0.0103;0;0;0.0033;0.0065;0.006;0.0522;0.0093;0;0;0;0;0;0;0;0.0018;0;0;0;65.32
28_190;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.64;11.62;0.0965;0;0;0;0;1.1097;0.0329;0.0187;0.031;4.3413;0;0;0.003;0.0025;0;0;0.0005;0.0033;0.0017;0.0314;0.0105;0;0;0;0;0;0;0;0.001;0;0;0;70.48
28_191;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.16;18.17;0.0693;0;0.0224;0;0;1.0816;0.0258;0;0.0258;3.7437;0;0;0.0038;0.0029;0;0;0.0009;0.0014;0.0009;0.0199;0.0019;0;0;0;0;0;0;0;0;0;0;0;66.68
28_194;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.17;6.39;0.147;0;0;0;0;2.3982;0.0679;0.0076;0.0556;12.13;0;0.0038;0.0051;0.0038;0;0;0;0.0084;0.001;0.0412;0.0092;0;0;0;0;0;0;0;0.0015;0;0;0;64.77
28_199;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.29;22.12;0;0;0;0;0;0.3064;0;0;0.0087;1.3503;0;0.002;0;0;0;0;0;0.0004;0;0.0108;0;0;0;0;0;0;0;0;0;0;0;0;65.86
28_200;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.65;7.92;0.1575;0.0151;0;0;0;2.0787;0.0718;0;0.1224;16.54;0;0.0036;0.0178;0.0096;0;0;0.0009;0.0035;0.0019;0.0546;0.0088;0;0;0;0;0;0;0;0.0028;0;0;0;58.53
